workload_label,badger,leaves,leveldb,lmdb,rocksdb,sqlite,wiredtiger
Analytics Read,205625.0,2099305.0,514464.0,1300340.0,362809.0,194702.0,220496.0
Batch Insert,0.0,744276.75,372174.0,403740.25,249452.5,0.0,0.0
Batch Update,0.0,667155.75,255075.0,547954.75,160404.25,0.0,0.0
Cache,152367.0,1813570.0,512506.5,1225135.0,359227.5,210791.0,213200.0
Ingest,52390.7,610923.0,300040.5,389266.5,202181.0,110794.0,70809.0
Latest,214703.0,2157215.0,876794.0,1273425.0,518334.5,215195.0,257394.0
RMW,51737.3,736355.5,255885.5,591251.5,166413.5,120297.0,129001.0
Range 10,26543.5,836332.0,279383.0,703654.5,176410.0,95563.5,72065.5
Range 100,7385.02,113431.0,81699.4,121964.0,38458.9,14883.2,49091.8
Session,59739.5,764109.0,297625.0,639113.5,191046.0,153258.0,129555.0
